"date","confirmed","comsum"
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,1,1
2020-02-01,0,1
2020-02-02,0,1
2020-02-03,0,1
2020-02-04,0,1
2020-02-05,0,1
2020-02-06,0,1
2020-02-07,0,1
2020-02-08,0,1
2020-02-09,0,1
2020-02-10,0,1
2020-02-11,0,1
2020-02-12,0,1
2020-02-13,0,1
2020-02-14,0,1
2020-02-15,0,1
2020-02-16,0,1
2020-02-17,0,1
2020-02-18,0,1
2020-02-19,0,1
2020-02-20,0,1
2020-02-21,0,1
2020-02-22,0,1
2020-02-23,0,1
2020-02-24,0,1
2020-02-25,0,1
2020-02-26,0,1
2020-02-27,0,1
2020-02-28,0,1
2020-02-29,0,1
2020-03-01,0,1
2020-03-02,1,2
2020-03-03,0,2
2020-03-04,0,2
2020-03-05,0,2
2020-03-06,0,2
2020-03-07,0,2
2020-03-08,0,2
2020-03-09,0,2
2020-03-10,0,2
2020-03-11,0,2
2020-03-12,2,4
2020-03-13,0,4
2020-03-14,1,5
2020-03-15,3,8
2020-03-16,0,8
2020-03-17,8,16
2020-03-18,3,19
2020-03-19,11,30
2020-03-20,23,53
2020-03-21,15,68
2020-03-22,9,77
2020-03-23,20,97
2020-03-24,34,131
2020-03-25,57,188
2020-03-26,68,256
2020-03-27,74,330
2020-03-28,98,428
2020-03-29,60,488
2020-03-30,73,561
2020-03-31,108,669
2020-04-01,0,669
